     x  	    sin(x*x)  	   sin'an(x)  	   sin''an(x)  	  'sk(x)  	  ''sk(x)
    4.32	   -0.19	    8.49	   15.85	    8.56	   15.84
    4.33	   -0.10	    8.62	    9.52	    8.65	    9.51
    4.34	   -0.01	    8.68	    3.05	    8.68	    3.04
    4.35	    0.07	    8.68	   -3.52	    8.65	   -3.53
    4.36	    0.16	    8.61	  -10.15	    8.55	  -10.16
    4.37	    0.24	    8.47	  -16.77	    8.38	  -16.76
    4.38	    0.33	    8.27	  -23.33	    8.15	  -23.32
    4.39	    0.41	    8.01	  -29.79	    7.85	  -29.76
    4.40	    0.49	    7.68	  -36.09	    7.49	  -36.11
    4.41	    0.56	    7.29	  -42.18	    7.07	  -42.14
    4.42	    0.63	    6.84	  -48.01	    6.59	  -47.98
    4.43	    0.70	    6.33	  -53.52	    6.05	  -53.51
    4.44	    0.76	    5.77	  -58.67	    5.46	  -58.63
    4.45	    0.82	    5.16	  -63.41	    4.83	  -63.39
    4.46	    0.86	    4.50	  -67.69	    4.15	  -67.65
    4.47	    0.91	    3.80	  -71.48	    3.44	  -71.44
    4.48	    0.94	    3.07	  -74.73	    2.69	  -74.69
    4.49	    0.97	    2.31	  -77.41	    1.92	  -77.37
    4.50	    0.99	    1.53	  -79.49	    1.13	  -79.44
    4.51	    1.00	    0.72	  -80.94	    0.32	  -80.89
    4.52	    1.00	   -0.09	  -81.74	   -0.50	  -81.69
    4.53	    0.99	   -0.91	  -81.87	   -1.32	  -81.82
    4.54	    0.98	   -1.73	  -81.32	   -2.13	  -81.27
    4.55	    0.96	   -2.53	  -80.09	   -2.93	  -80.04
    4.56	    0.93	   -3.33	  -78.17	   -3.71	  -78.12
    4.57	    0.89	   -4.10	  -75.58	   -4.47	  -75.53
    4.58	    0.85	   -4.84	  -72.32	   -5.19	  -72.26
    4.59	    0.80	   -5.54	  -68.41	   -5.87	  -68.36
    4.60	    0.74	   -6.20	  -63.87	   -6.51	  -63.82
    4.61	    0.67	   -6.82	  -58.73	   -7.10	  -58.69
    4.62	    0.60	   -7.37	  -53.04	   -7.63	  -53.00
    4.63	    0.53	   -7.87	  -46.82	   -8.10	  -46.79
    4.64	    0.45	   -8.31	  -40.13	   -8.50	  -40.10
    4.65	    0.36	   -8.68	  -33.02	   -8.83	  -32.98
    4.66	    0.27	   -8.97	  -25.55	   -9.08	  -25.53
    4.67	    0.18	   -9.19	  -17.77	   -9.26	  -17.75
    4.68	    0.09	   -9.32	   -9.75	   -9.36	   -9.76
    4.69	   -0.01	   -9.38	   -1.55	   -9.37	   -1.51
    4.70	   -0.10	   -9.35	    6.74	   -9.31	    6.72
    4.71	   -0.19	   -9.24	   15.06	   -9.16	   15.06
    4.72	   -0.28	   -9.05	   23.34	   -8.92	   23.35
    4.73	   -0.37	   -8.78	   31.49	   -8.61	   31.46
    4.74	   -0.46	   -8.42	   39.45	   -8.21	   39.44
    4.75	   -0.54	   -7.99	   47.13	   -7.74	   47.10
    4.76	   -0.62	   -7.48	   54.47	   -7.20	   54.43
    4.77	   -0.69	   -6.90	   61.38	   -6.58	   61.34
    4.78	   -0.76	   -6.26	   67.80	   -5.91	   67.76
    4.79	   -0.82	   -5.55	   73.66	   -5.17	   73.60
    4.80	   -0.87	   -4.79	   78.90	   -4.38	   78.85
    4.81	   -0.91	   -3.97	   83.46	   -3.55	   83.39
    4.82	   -0.95	   -3.12	   87.29	   -2.68	   87.23
    4.83	   -0.97	   -2.23	   90.34	   -1.77	   90.27
    4.84	   -0.99	   -1.31	   92.56	   -0.85	   92.50
    4.85	   -1.00	   -0.38	   93.94	    0.09	   93.87
    4.86	   -1.00	    0.56	   94.44	    1.03	   94.37
    4.87	   -0.99	    1.50	   94.04	    1.97	   93.96
    4.88	   -0.97	    2.44	   92.73	    2.90	   92.66
    4.89	   -0.94	    3.36	   90.53	    3.80	   90.46
    4.90	   -0.90	    4.25	   87.42	    4.68	   87.35
    4.91	   -0.85	    5.10	   83.44	    5.51	   83.36
    4.92	   -0.80	    5.91	   78.60	    6.30	   78.54
    4.93	   -0.74	    6.67	   72.94	    7.03	   72.88
    4.94	   -0.67	    7.37	   66.51	    7.69	   66.44
    4.95	   -0.59	    8.00	   59.36	    8.28	   59.33
    4.96	   -0.51	    8.55	   51.55	    8.80	   51.49
    4.97	   -0.42	    9.03	   43.15	    9.23	   43.11
    4.98	   -0.33	    9.42	   34.24	    9.57	   34.21
    4.99	   -0.23	    9.71	   24.89	    9.82	   24.87
    5.00	   -0.13	    9.91	   15.20	    9.97	   15.16
    5.01	   -0.03	   10.01	    5.26	   10.02	    5.26
    5.02	    0.07	   10.02	   -4.84	    9.98	   -4.86
    5.03	    0.17	    9.92	  -14.99	    9.83	  -14.98
    5.04	    0.27	    9.72	  -25.08	    9.58	  -25.07
    5.05	    0.36	    9.42	  -35.02	    9.23	  -35.00
    5.06	    0.45	    9.02	  -44.70	    8.78	  -44.67
    5.07	    0.54	    8.52	  -54.01	    8.24	  -53.97
    5.08	    0.62	    7.94	  -62.85	    7.61	  -62.82
    5.09	    0.70	    7.27	  -71.13	    6.90	  -71.06
    5.10	    0.77	    6.52	  -78.74	    6.11	  -78.69
    5.11	    0.83	    5.70	  -85.61	    5.26	  -85.54
    5.12	    0.88	    4.81	  -91.63	    4.34	  -91.56
    5.13	    0.93	    3.87	  -96.75	    3.38	  -96.68
    5.14	    0.96	    2.88	 -100.90	    2.37	 -100.81
    5.15	    0.98	    1.85	 -104.00	    1.33	 -103.92
    5.16	    1.00	    0.80	 -106.03	    0.27	 -105.94
    5.17	    1.00	   -0.26	 -106.93	   -0.80	 -106.84
    5.18	    0.99	   -1.33	 -106.69	   -1.87	 -106.60
    5.19	    0.97	   -2.39	 -105.30	   -2.92	 -105.21
    5.20	    0.94	   -3.44	 -102.75	   -3.94	 -102.66
    5.21	    0.90	   -4.45	  -99.05	   -4.93	  -98.96
    5.22	    0.86	   -5.41	  -94.23	   -5.88	  -94.14
    5.23	    0.80	   -6.33	  -88.34	   -6.76	  -88.27
    5.24	    0.73	   -7.18	  -81.41	   -7.57	  -81.32
    5.25	    0.65	   -7.95	  -73.51	   -8.31	  -73.44
    5.26	    0.57	   -8.64	  -64.72	   -8.95	  -64.66
    5.27	    0.48	   -9.24	  -55.13	   -9.50	  -55.07
    5.28	    0.39	   -9.74	  -44.83	   -9.95	  -44.78
    5.29	    0.29	  -10.14	  -33.92	  -10.29	  -33.88
    5.30	    0.18	  -10.42	  -22.53	  -10.51	  -22.48
    5.31	    0.08	  -10.59	  -10.78	  -10.62	  -10.78
    5.32	   -0.03	  -10.64	    1.21	  -10.61	    1.23
    5.33	   -0.13	  -10.56	   13.30	  -10.48	   13.29
    5.34	   -0.24	  -10.37	   25.34	  -10.22	   25.33
    5.35	   -0.34	  -10.06	   37.21	   -9.85	   37.19
    5.36	   -0.44	   -9.63	   48.77	   -9.36	   48.74
    5.37	   -0.53	   -9.08	   59.86	   -8.77	   59.80
    5.38	   -0.62	   -8.43	   70.36	   -8.06	   70.32
    5.39	   -0.70	   -7.68	   80.14	   -7.26	   80.06
    5.40	   -0.77	   -6.83	   89.08	   -6.37	   89.01
    5.41	   -0.84	   -5.90	   97.05	   -5.40	   96.96
    5.42	   -0.89	   -4.89	  103.95	   -4.36	  103.85
    5.43	   -0.94	   -3.82	  109.68	   -3.27	  109.59
    5.44	   -0.97	   -2.70	  114.16	   -2.13	  114.05
    5.45	   -0.99	   -1.55	  117.33	   -0.96	  117.22
    5.46	   -1.00	   -0.36	  119.12	    0.23	  119.00
    5.47	   -1.00	    0.83	  119.49	    1.43	  119.38
    5.48	   -0.98	    2.02	  118.43	    2.61	  118.31
    5.49	   -0.96	    3.20	  115.93	    3.77	  115.81
    5.50	   -0.92	    4.34	  111.99	    4.89	  111.88
    5.51	   -0.87	    5.43	  106.66	    5.95	  106.54
    5.52	   -0.81	    6.47	   99.97	    6.95	   99.88
    5.53	   -0.74	    7.43	   92.00	    7.87	   91.89
    5.54	   -0.66	    8.30	   82.82	    8.70	   82.73
    5.55	   -0.58	    9.08	   72.53	    9.42	   72.45
    5.56	   -0.48	    9.75	   61.25	   10.03	   61.18
    5.57	   -0.38	   10.30	   49.11	   10.53	   49.05
    5.58	   -0.28	   10.73	   36.24	   10.89	   36.20
    5.59	   -0.17	   11.02	   22.81	   11.11	   22.76
    5.60	   -0.06	   11.18	    8.96	   11.20	    8.96
    5.61	    0.06	   11.20	   -5.12	   11.15	   -5.14
    5.62	    0.17	   11.08	  -19.26	   10.96	  -19.25
    5.63	    0.28	   10.82	  -33.28	   10.63	  -33.26
    5.64	    0.38	   10.42	  -47.01	   10.16	  -46.97
    5.65	    0.49	    9.88	  -60.25	    9.56	  -60.21
    5.66	    0.58	    9.21	  -72.84	    8.83	  -72.75
    5.67	    0.67	    8.42	  -84.59	    7.98	  -84.53
    5.68	    0.75	    7.52	  -95.36	    7.03	  -95.26
    5.69	    0.82	    6.52	 -104.99	    5.98	 -104.90
    5.70	    0.88	    5.43	 -113.33	    4.85	 -113.22
    5.71	    0.93	    4.26	 -120.26	    3.65	 -120.13
    5.72	    0.96	    3.03	 -125.68	    2.39	 -125.55
    5.73	    0.99	    1.75	 -129.49	    1.10	 -129.36
    5.74	    1.00	    0.44	 -131.62	   -0.22	 -131.48
    5.75	    1.00	   -0.88	 -132.02	   -1.53	 -131.88
    5.76	    0.98	   -2.19	 -130.67	   -2.84	 -130.53
    5.77	    0.95	   -3.48	 -127.57	   -4.11	 -127.44
    5.78	    0.91	   -4.74	 -122.73	   -5.34	 -122.59
    5.79	    0.86	   -5.93	 -116.19	   -6.50	 -116.05
    5.80	    0.79	   -7.05	 -108.04	   -7.58	 -107.92
    5.81	    0.72	   -8.09	  -98.35	   -8.56	  -98.22
    5.82	    0.63	   -9.02	  -87.24	   -9.43	  -87.15
    5.83	    0.54	   -9.83	  -74.84	  -10.18	  -74.74
    5.84	    0.44	  -10.51	  -61.32	  -10.79	  -61.26
    5.85	    0.33	  -11.05	  -46.84	  -11.26	  -46.76
    5.86	    0.22	  -11.44	  -31.59	  -11.58	  -31.53
    5.87	    0.10	  -11.68	  -15.77	  -11.73	  -15.76
    5.88	   -0.02	  -11.76	    0.40	  -11.73	    0.43
    5.89	   -0.13	  -11.67	   16.70	  -11.56	   16.67
    5.90	   -0.25	  -11.42	   32.91	  -11.23	   32.90
    5.91	   -0.36	  -11.02	   48.80	  -10.75	   48.73
    5.92	   -0.47	  -10.45	   64.13	  -10.11	   64.09
    5.93	   -0.57	   -9.74	   78.69	   -9.32	   78.63
    5.94	   -0.66	   -8.88	   92.26	   -8.40	   92.15
    5.95	   -0.75	   -7.89	  104.64	   -7.35	  104.54
    5.96	   -0.82	   -6.79	  115.63	   -6.20	  115.49
    5.97	   -0.88	   -5.59	  125.06	   -4.95	  124.93
    5.98	   -0.93	   -4.30	  132.78	   -3.62	  132.63
    5.99	   -0.97	   -2.94	  138.65	   -2.24	  138.48
    6.00	   -0.99	   -1.53	  142.57	   -0.81	  142.42
    6.01	   -1.00	   -0.09	  144.46	    0.63	  144.29
    6.02	   -0.99	    1.35	  144.27	    2.07	  144.10
    6.03	   -0.97	    2.79	  141.97	    3.49	  141.81
    6.04	   -0.94	    4.19	  137.58	    4.86	  137.41
    6.05	   -0.89	    5.53	  131.14	    6.17	  130.99
    6.06	   -0.83	    6.80	  122.71	    7.40	  122.55
    6.07	   -0.75	    7.98	  112.40	    8.52	  112.24
    6.08	   -0.67	    9.04	  100.34	    9.52	  100.22
    6.09	   -0.57	    9.98	   86.68	   10.39	   86.56
    6.10	   -0.47	   10.77	   71.63	   11.10	   71.55
    6.11	   -0.36	   11.41	   55.37	   11.66	   55.28
    6.12	   -0.24	   11.88	   38.16	   12.04	   38.12
    6.13	   -0.12	   12.17	   20.23	   12.24	   20.17
    6.14	    0.00	   12.28	    1.84	   12.26	    1.81
    6.15	    0.12	   12.21	  -16.72	   12.09	  -16.69
    6.16	    0.24	   11.95	  -35.18	   11.74	  -35.13
    6.17	    0.36	   11.50	  -53.25	   11.21	  -53.25
    6.18	    0.47	   10.88	  -70.66	   10.50	  -70.53
    6.19	    0.58	   10.09	  -87.12	    9.63	  -87.07
    6.20	    0.68	    9.14	 -102.37	    8.61	 -102.24
    6.21	    0.76	    8.05	 -116.17	    7.45	 -116.02
    6.22	    0.84	    6.83	 -128.27	    6.17	 -128.13
    6.23	    0.90	    5.49	 -138.48	    4.78	 -138.32
    6.24	    0.95	    4.06	 -146.61	    3.32	 -146.42
    6.25	    0.98	    2.57	 -152.51	    1.80	 -152.33
    6.26	    1.00	    1.02	 -156.07	    0.24	 -155.87
    6.27	    1.00	   -0.55	 -157.19	   -1.33	 -156.99
    6.28	    0.99	   -2.11	 -155.84	   -2.89	 -155.64
